unixtime,price,amount
1474906357,603.77,0.11458573
1474906357,603.77,0.03541427
1474906358,603.77,0.10086165
1474906367,603.77,0.018
1474906369,603.77,0.01
1474906372,603.77,0.00772408
1474906372,603.77,0.00227592
1474906374,603.77,0.13
1474906377,603.77,0.03972408
1474906377,603.77,0.172
1474906377,603.76,0.1
1474906377,603.75,0.03999592
1474906379,603.75,0.35172
1474906381,603.75,0.33
1474906384,603.75,0.99
1474906386,603.75,0.06
1474906388,603.75,0.06
1474906391,603.75,0.35
1474906392,603.75,0.23
1474906395,603.75,0.333
1474906398,603.75,0.116
1474906502,604.52,0.1
1474906519,603.75,0.023
1474906543,603.75,0.071
1474906558,603.75,0.04528408
1474906558,603.75,0.00171592
1474906561,603.75,0.102
1474906566,604.52,0.07985
1474906570,603.75,0.032
1474906605,604.52,0.02015
1474906605,604.53,0.415665
1474906617,604.52,0.01996
1474906620,604.52,1e-05
1474906620,603.62,0.01995
1474906622,603.63,0.01996
1474906643,603.63,1.0
1474906645,603.62,0.033
1474906647,603.62,0.184
1474906649,603.62,0.03
1474906652,603.63,0.45
1474906654,603.63,0.113
1474906656,603.63,0.665
1474906658,603.62,0.06
1474906676,603.63,0.055
1474906679,603.63,0.383
1474906682,603.62,0.01
1474906685,603.62,1.0
1474906716,603.63,0.037
1474906718,603.62,0.23
1474906721,603.62,0.16
1474906724,603.62,0.242
1474906727,603.62,0.045
1474906730,603.62,0.1
1474906741,603.63,0.027
1474906803,604.53,0.032988
1474906937,604.52,0.04125587
1474906952,604.53,0.51712
1474907149,604.51,0.02419782
1474907206,603.71,1.65985379
1474907221,604.52,0.16665
1474907245,604.52,0.33325
1474907245,604.53,0.10928241
1474907245,604.55,0.06867709
1474907267,604.55,1.65000414
1474907275,603.96,1.0
1474907277,603.97,0.02419782
1474907277,603.76,0.35580218
1474907280,603.96,0.172
1474907280,603.96,0.168
1474907282,603.99,0.545
1474907284,603.98,0.03
1474907285,604.53,0.1
1474907285,604.55,1.28131877
1474907285,604.65,1.89562277
1474907287,603.98,0.066
1474907289,603.67,0.1
1474907292,603.67,0.1
1474907295,603.68,0.1
1474907298,603.67,0.08
1474907321,603.67,0.03163094
1474907366,603.99,0.04979561
1474907368,604.61,0.02419421
1474907416,604.6,0.08238368
1474907417,604.6,0.668
1474907418,604.65,0.101
1474907419,604.62,0.3
1474907422,604.63,0.898
1474907424,604.62,0.42048236
1474907425,604.6,0.03451764
1474907427,604.63,0.092
1474907430,604.64,0.171
1474907432,604.65,0.03992
1474907433,604.64,0.087
1474907436,604.61,0.07
1474907438,604.61,0.01
1474907441,604.61,1.0
1474907444,604.61,0.062
1474907447,604.61,0.109
1474907447,604.6,0.891
1474907449,604.65,0.37942614
1474907449,604.61,0.929
1474907451,604.6,0.405
1474907454,604.6,1.0
1474907456,604.61,1.0
1474907459,604.6,1.0
1474907462,604.6,0.46
1474907465,604.61,0.01
1474907467,604.61,0.01
1474907470,604.61,1.0
1474907472,604.6,0.06
1474907474,604.6,0.01
1474907477,604.6,0.3
1474907479,604.61,0.2
1474907482,604.61,0.186
1474907485,604.61,0.3
1474907488,604.61,0.01
1474907490,604.61,0.3
1474907492,604.61,0.386
1474907495,604.61,0.09
1474907497,604.61,1.0
1474907500,604.6,0.25768585
1474907500,604.57,0.1
1474907500,603.95,0.64231415
1474907503,603.95,0.084
1474907510,603.96,0.32633483
1474907532,604.6,0.1
1474907532,604.6,0.1
1474907532,604.65,0.04225437
1474907560,604.61,0.01
1474907562,604.61,0.18
1474907565,604.61,0.276
1474907566,604.61,0.011
1474907569,604.61,0.25
1474907571,604.61,0.881
1474907574,604.6,0.592
1474907576,604.6,1.0
1474907578,604.6,0.224
1474907580,604.61,0.244
1474907582,604.61,1.0
1474907582,604.61,0.05800552
1474907585,604.6,0.438
1474907587,604.6,0.02
1474907589,604.61,0.044
1474907591,604.61,0.049
1474907594,604.61,0.101
1474907597,604.61,0.03
1474907599,604.61,0.866
1474907601,604.6,0.395
1474907603,604.6,0.264
1474907606,604.6,0.21
1474907608,604.61,0.355
1474907610,604.61,0.01
1474907612,604.61,0.69
1474907614,604.6,0.03981604
1474907614,604.6,0.047
1474907618,604.6,0.436
1474907620,604.61,0.3
1474907622,604.61,0.283
1474907626,604.61,0.226
1474907628,604.61,0.54
1474907630,604.6,0.33418396
1474907630,604.58,0.1
1474907631,604.57,0.06881604
1474907631,604.57,0.03118396
1474907633,603.92,0.26
1474907635,603.93,0.21
1474907646,603.93,0.04844813
1474907662,604.64,0.93804
1474907712,604.64,0.06196
1474907712,604.65,0.230472
1474907734,604.64,0.0750212
1474907736,603.96,0.21869023
1474907780,604.64,0.1617
1474907879,603.8,13.29468674
1474907885,603.67,0.0083
1474907983,604.64,0.7632788
1474907983,604.65,0.1947212
1474908015,604.65,0.11658352
1474908015,604.66,0.06881604
1474908015,604.67,0.1
1474908015,604.87,0.65460044
1474908023,603.97,0.15066756
1474908063,604.96,0.2
1474908088,604.95,0.23996275
1474908091,604.22,0.99
1474908093,604.21,0.25
1474908095,603.97,0.018
1474908130,604.95,0.49367373
1474908137,604.31,2.25592
1474908205,604.95,0.26636352
1474908210,604.95,0.04919333
1474908212,604.95,0.00282762
1474908212,604.95,0.82517238
1474908214,604.52,1.0
1474908219,604.52,0.08
1474908221,604.53,0.049
1474908223,604.53,0.04
1474908259,604.56,13.28891783
1474908268,604.95,0.04836208
1474908285,604.95,0.03556082
1474908290,604.95,0.04351094
1474908290,604.95,0.04042849
1474908292,604.31,0.384
